"Name","Path","RiskScore","RiskReasons","ReferenceCount","ReferencedBy","OutputTables","IsTestFolder","IsTestName","IsDuplicate","CreatedDate","ModifiedDate"
"lh_attend_gold.Dataflow","servicepoint\lh_attend_gold.Dataflow\mashup.pq","0","In test/scratch folder with zero references","0","","","True","True","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"active_credible_clients.Dataflow","Credible\transformations\active_credible_clients.Dataflow\mashup.pq","3","No references from other flows","0","","bundle_count_byClient_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
"agg_ssvf_gl_month.Dataflow","staging\agg_ssvf_gl_month.Dataflow\mashup.pq","3","No references from other flows","0","","","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"credible_employees_biDataflow.Dataflow","credible_employees_biDataflow.Dataflow\mashup.pq","3","No references from other flows","0","","API - Employees_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"division-bundle-counter-flow.Dataflow","staging\Credible\division-bundle-counter-flow.Dataflow\mashup.pq","3","No references from other flows","0","","","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"lighthouse_cis_comb.Dataflow","staging\lighthouse_cis_comb.Dataflow\mashup.pq","3","No references from other flows","0","","Matching_CIS_LH_Final_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_cisdm_school_goals.Dataflow","cisdm\raw\raw_cisdm_school_goals.Dataflow\mashup.pq","3","No references from other flows","0","","school_goals_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_cisdm_student_planned_supports.Dataflow","cisdm\raw\raw_cisdm_student_planned_supports.Dataflow\mashup.pq","3","No references from other flows","0","","planned_supports_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_cisdm_student_support_detail.Dataflow","cisdm\raw\raw_cisdm_student_support_detail.Dataflow\mashup.pq","3","No references from other flows","0","","student_support_detail_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_client_referrals.Dataflow","raw_client_referrals.Dataflow\mashup.pq","3","No references from other flows","0","","Client Referral_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_credible_eligibility.Dataflow","Credible\raw\raw_credible_eligibility.Dataflow\mashup.pq","3","No references from other flows","0","","raw_cred_assess_assign_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
"raw_credible_employees.Dataflow","Credible\raw\raw_credible_employees.Dataflow\mashup.pq","3","No references from other flows","0","","","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
"raw_credible_outreach.Dataflow","raw_credible_outreach.Dataflow\mashup.pq","3","No references from other flows","0","","API - Outreach Service_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_historical_maintenance_invoices.Dataflow","admin\raw\raw_historical_maintenance_invoices.Dataflow\mashup.pq","3","No references from other flows","0","","appended_historical_maint_invoices_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_maint_incidents.Dataflow","admin\raw\raw_maint_incidents.Dataflow\mashup.pq","3","No references from other flows","0","","raw_maint_incident_log_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_maintenance_requests.Dataflow","admin\raw\raw_maintenance_requests.Dataflow\mashup.pq","3","No references from other flows","0","","Maintenance Request and History_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_mcadoo_room_list.Dataflow","raw_mcadoo_room_list.Dataflow\mashup.pq","3","No references from other flows","0","","","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_paycor_pipe.Dataflow","admin\raw\raw_paycor_pipe.Dataflow\mashup.pq","3","No references from other flows","0","","punches_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_risk_ingest.Dataflow","admin\raw\raw_risk_ingest.Dataflow\mashup.pq","3","No references from other flows","0","","Risk Management_DataDestination","False","False","False","1/14/2026 10:48:00 AM","1/14/2026 10:48:00 AM"
"raw_shoc_locations.Dataflow","raw_shoc_locations.Dataflow\mashup.pq","3","No references from other flows","0","","Housing Locations - Matt Turek xlsx_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_sp_client_addresses.Dataflow","servicepoint\raw\raw_sp_client_addresses.Dataflow\mashup.pq","3","No references from other flows","0","","raw_client_addresses_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_sp_lighthouse_reg.Dataflow","servicepoint\raw\raw_sp_lighthouse_reg.Dataflow\mashup.pq","3","No references from other flows","0","","sp_lighthouse_registration csv_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_ssvf_workflow.Dataflow","raw_ssvf_workflow.Dataflow\mashup.pq","3","No references from other flows","0","","SSVF Workflow_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw-credible-ibhh.Dataflow","Credible\raw\raw-credible-ibhh.Dataflow\mashup.pq","3","No references from other flows","0","","Query_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
"raw-credible-ledger-v3.Dataflow","Credible\raw\raw-credible-ledger-v3.Dataflow\mashup.pq","3","No references from other flows","0","","raw-credible-ledger-v3_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
"raw-credible-ledger.Dataflow","Credible\raw\raw-credible-ledger.Dataflow\mashup.pq","3","No references from other flows","0","","raw-credible-ledger_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
"raw-credible-services-filtered.Dataflow","Credible\raw\raw-credible-services-filtered.Dataflow\mashup.pq","3","No references from other flows","0","","raw-credible-services-filtered_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
"raw-netsuite-fullregister.Dataflow","admin\NetSuite\raw-netsuite-fullregister.Dataflow\mashup.pq","3","No references from other flows","0","","raw-netsuite-fullregister_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
"staging_credible_addresses.Dataflow","staging\Credible\staging_credible_addresses.Dataflow\mashup.pq","3","No references from other flows","0","","raw_credible_clients-warehouse_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"transform_hmis_export.Dataflow","lsndc\transformations\transform_hmis_export.Dataflow\mashup.pq","3","No references from other flows","0","","","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"transform-credible-services-2.Dataflow","staging\Credible\transform-credible-services-2.Dataflow\mashup.pq","3","No references from other flows","0","","bundle-secondaries_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"transform-lsndc-client.Dataflow","staging\LSNDC\transform-lsndc-client.Dataflow\mashup.pq","3","No references from other flows","0","","","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"caddo_grades_transforms.Dataflow","jcampus\transforms\caddo_grades_transforms.Dataflow\mashup.pq","10","Referenced by 1 other flows - NOT SAFE TO DELETE","1","pipe_caddo_grades.Dataflow","raw_caddo_grades_export_DataDestination","False","False","False","1/2/2026 12:06:44 PM","1/2/2026 12:06:44 PM"
"raw_credible_brs_cross.Dataflow","Credible\raw\raw_credible_brs_cross.Dataflow\mashup.pq","10","Referenced by 1 other flows - NOT SAFE TO DELETE","1","credible_brs_transform.Dataflow","raw_credible_brs_cross_DataDestination","False","False","False","1/2/2026 12:06:43 PM","1/2/2026 12:06:43 PM"
